iter	Passed	Remaining
0	68	33961
1	68	17085
2	69	11518
3	71	8817
4	71	7110
5	72	5971
6	73	5167
7	75	4622
8	75	4137
9	76	3766
10	77	3447
11	78	3178
12	78	2956
13	79	2762
14	81	2621
15	81	2459
16	81	2326
17	83	2231
18	83	2122
19	84	2027
20	84	1934
21	85	1854
22	85	1780
23	86	1716
24	87	1657
25	87	1600
26	88	1550
27	89	1511
28	90	1465
29	90	1423
30	91	1385
31	91	1344
32	92	1308
33	92	1273
34	93	1241
35	93	1211
36	94	1181
37	94	1150
38	95	1124
39	95	1098
40	95	1074
41	96	1050
42	96	1029
43	97	1006
44	98	991
45	98	974
46	99	954
47	99	934
48	99	916
49	100	902
50	100	887
51	102	881
