feature,importance
target_dam_price,14.999492915583012
dam_percentile_7d,14.371253832471702
spread_median_7d,4.894597268748165
dam_vs_7d_mean,4.5275171719047735
hour_cos,4.415456000687694
spread_positive_ratio_24h,4.093901652942419
target_hour,3.94659611122179
dam_vs_same_hour,3.7924191475391873
target_week,3.6552653042873735
dam_price_level,3.3840052328044528
spread_positive_ratio_7d,2.904011007620757
target_day_of_month,2.6620193925626126
target_dow,2.5576393071417374
spread_same_dow_hour_last,2.522418640593876
spread_same_hour_hist,2.5148652779225737
spike_count_7d,2.434287214599898
rtm_mean_7d,2.3881392091205838
rtm_mean_24h,2.3291143328151946
rtm_std_7d,1.8173428801132636
spread_mean_24h,1.530424253581948
dam_std_7d,1.5178082830496207
rtm_same_hour_hist,1.3244289806765135
spread_max_7d,1.0850400742502726
rtm_max_7d,0.9894037515829514
spread_mean_7d,0.8605086744542733
spread_same_dow_hour,0.83508139976041
hour_sin,0.8164416226614934
dam_mean_7d,0.7573709147469119
spread_same_hour_std,0.7246527688072336
spread_std_24h,0.7201199683193003
target_month,0.5777777798169702
target_is_summer,0.5446853137792579
spread_std_7d,0.523406593273426
target_is_weekend,0.49768157911800015
month_sin,0.4914025429198698
month_cos,0.4433460380179485
rtm_volatility_24h,0.40208038983082506
dow_sin,0.34166538368995947
dam_mean_24h,0.27139827995893445
spread_min_7d,0.23894334952294408
rtm_spike_count_7d,0.175447396540092
spread_trend_7d,0.12054276095981178
target_is_peak,0.0
dow_cos,0.0
